mark,model,description,model_id
CITROEN,C3,PureTech 82ch Shine S&S E6.d,1
RENAULT,Zoe,Zen charge normale R110 Achat Intégral - 20,2
PEUGEOT,3008,HYBRID4 300ch GT Pack e-EAT8,3
PEUGEOT,2008,1.2 PureTech 130ch S&S Style EAT8,4
DACIA,Sandero,1.0 ECO-G 100ch Stepway Expression +,5
DACIA,Duster,1.5 Blue dCi 115ch Prestige 4x2 - 20,6
CITROEN,C4,BlueHDi 130ch S&S Feel Pack EAT8 120g,7
PEUGEOT,3008,1.5 BlueHDi 130ch S&S Allure Business EAT8,8
PEUGEOT,208,1.2 PureTech 100ch S&S Active Pack 118g,9
PEUGEOT,308,1.2 PureTech 130ch S&S GT EAT8,10
RENAULT,Clio,1.0 TCe 90ch Intens -21,11
PEUGEOT,3008,1.2 PureTech 130ch E6.c Allure S&S EAT8,12
RENAULT,Kadjar,1.5 Blue dCi 115ch Intens EDC,13
CITROEN,C3,1.2 PureTech 83ch S&S Shine BVM,14
RENAULT,Captur,1.6 E-Tech Plug-in 160ch Initiale Paris,15
PEUGEOT,208,1.2 PureTech 75ch S&S Like,16
RENAULT,Megane,1.5 Blue dCi 115ch Evolution EDC -23,17
RENAULT,Zoe,Life charge normale R110 Achat Intégral - 20,18
RENAULT,Captur,1.0 TCe 100ch Evolution GPL,19
PEUGEOT,2008,1.2 PureTech 100ch S&S Allure,20
PEUGEOT,208,e-208 136ch Active,21
MINI,Mini,Cooper S 178ch Premium,22
PEUGEOT,208,1.2 PureTech 100ch S&S Allure EAT8,23
PEUGEOT,3008,1.5 BlueHDi 130ch S&S GT EAT8,24
DACIA,Duster,1.5 Blue dCi 115ch Extreme 4x2,25
RENAULT,Megane,E-Tech Electric EV40 130ch Equilibre standard charge,26
DACIA,Sandero,1.0 TCe 90ch Stepway Expression,27
PEUGEOT,308,1.2 PureTech 130ch S&S Allure EAT8 7cv,28
DACIA,Duster,1.5 Blue dCi 115ch Prestige 4x2,29
PEUGEOT,308,1.5 BlueHDi 130ch S&S Active Pack EAT8,30
RENAULT,Clio,1.0 TCe 90ch Techno,31
MINI,Mini,Cooper S 178ch Edition Camden BVA7,32
MINI,Mini,One 102ch Edition Greenwich BVA7,33
PEUGEOT,208,1.2 PureTech 100ch S&S Allure 118g,34
RENAULT,Arkana,1.3 TCe mild hybrid 160ch RS Line EDC -22,35
PEUGEOT,2008,1.2 PureTech 130ch S&S Allure Pack,36
PEUGEOT,3008,HYBRID 225ch Allure Pack e-EAT8,37
RENAULT,Twingo,1.0 SCe 65ch Life - 20,38
RENAULT,Clio,1.6 E-Tech hybride 140ch Business -21N,39
RENAULT,Captur,1.0 TCe 90ch Intens -21,40
DACIA,Sandero,1.0 ECO-G 100ch Stepway Essentiel,41
NISSAN,Qashqai,1.3 Mild Hybrid 158ch Tekna Xtronic,42
RENAULT,Captur,1.6 E-Tech hybride 145ch Intens -21,43
DACIA,Duster,1.0 ECO-G 100ch Prestige 4x2 - E6U,44
RENAULT,Clio,1.3 TCe 140ch RS Line,45
NISSAN,Qashqai,1.5 dCi 115ch Tekna 2019 Euro6-EVAP,46
PEUGEOT,3008,1.2 PureTech 130ch GT Line S&S EAT8 6cv,47
CITROEN,C5 Aircross,Hybrid rechargeable 225ch C-Series ë-EAT8,48
CITROEN,C4,Moteur électrique 136ch (100 kW) Feel Pack Automatique,49
RENAULT,Captur,1.3 TCe mild hybrid 160ch RS Line EDC,50
RENAULT,Clio,1.0 TCe 100ch Intens,51
RENAULT,Captur,1.3 TCe mild hybrid 140ch Techno Fast Track,52
CITROEN,C3,1.2 PureTech 83ch S&S Shine,53
RENAULT,Zoe,Business charge normale R90 MY19,54
RENAULT,Zoe,E-Tech Life charge normale R110 Achat Intégral - 21,55
PEUGEOT,3008,1.2 PureTech 130ch S&S GT EAT8,56
RENAULT,Clio,1.3 TCe 140ch Techno,57
RENAULT,Captur,1.0 TCe 90ch Techno,58
PEUGEOT,2008,1.2 PureTech 100ch S&S Allure 5cv,59
RENAULT,Captur,1.3 TCe 130ch FAP Intens EDC,60
DACIA,Sandero,1.0 ECO-G 100ch Stepway Confort,61
PEUGEOT,208,e-208 136ch Allure,62
PEUGEOT,208,1.2 PureTech 100ch S&S Active Pack,63
PEUGEOT,208,e-208 136ch Active Business,64
MINI,Mini,Cooper 136ch Edition Greenwich,65
DACIA,Sandero,1.0 SCe 75ch City+,66
CITROEN,C3,PureTech 110ch Feel S&S E6.d-TEMP,67
PEUGEOT,2008,1.5 BlueHDi 130ch S&S GT EAT8,68
PEUGEOT,2008,e-2008 136ch Roadtrip,69
PEUGEOT,208,1.2 PureTech 75ch S&S Active,70
PEUGEOT,3008,HYBRID4 300ch GT e-EAT8,71
RENAULT,Clio,1.5 Blue dCi 85ch Business,72
PEUGEOT,2008,1.2 PureTech 130ch S&S Allure EAT8 7cv,73
RENAULT,Clio,1.0 TCe 100ch Evolution GPL,74
PEUGEOT,208,1.2 PureTech 100ch S&S Allure,75
PEUGEOT,2008,1.2 PureTech 100ch S&S Active,76
PEUGEOT,3008,1.2 PureTech 130ch S&S Active,77
NISSAN,Qashqai,1.3 Mild Hybrid 140ch N-Connecta,78
CITROEN,C3,1.2 PureTech 110ch S&S Shine EAT6,79
PEUGEOT,208,1.2 PureTech 100ch S&S Roadtrip 118g,80
RENAULT,Twingo,E-Tech Electric Life R80 Achat Intégral - 21MY,81
PEUGEOT,2008,1.2 PureTech 100ch S&S Active Business,82
PEUGEOT,208,e-208 136ch GT,83
RENAULT,Captur,1.3 TCe mild hybrid 140ch Techno,84
CITROEN,C3,1.2 PureTech 83ch S&S Feel Business,85
PEUGEOT,208,1.2 PureTech 100ch S&S Active,86
RENAULT,Arkana,1.6 E-Tech 145ch Intens -21B,87
PEUGEOT,2008,e-2008 136ch Allure Pack,88
PEUGEOT,2008,1.2 PureTech 130ch S&S Allure 124g,89
PEUGEOT,3008,HYBRID 225ch GT e-EAT8,90
RENAULT,Captur,1.6 E-Tech Plug-in 160ch Intens,91
PEUGEOT,308,1.2 PureTech 130ch S&S Allure Pack EAT8,92
PEUGEOT,2008,1.2 PureTech 110ch Allure S&S EAT6,93
PEUGEOT,3008,1.2 PureTech 130ch S&S Allure EAT8,94
CITROEN,C3,1.2 PureTech 110ch S&S Shine Pack 121-122g,95
RENAULT,Megane,1.3 TCe 140ch FAP Business EDC,96
RENAULT,Clio,1.0 TCe 90ch RS Line -21N,97
RENAULT,Zoe,Team Rugby charge normale R110 Achat Intégral,98
NISSAN,Qashqai,1.5 dCi 115ch Business Edition DCT 2019 Euro6-EVAP,99
RENAULT,Twingo,1.0 SCe 65ch Limited E6D-Full,100
PEUGEOT,2008,1.5 BlueHDi 130ch S&S Allure EAT8,101
RENAULT,Megane,E-Tech Electric EV60 220ch Techno super charge,102
RENAULT,Clio,1.0 TCe 90ch Limited -21,103
RENAULT,Captur,1.0 TCe 100ch Business GPL -21,104
RENAULT,Megane,1.3 TCe 140ch Techno EDC -23,105
DACIA,Duster,1.5 Blue dCi 115ch Prestige 4x2 E6U,106
PEUGEOT,308,e-308 156ch GT,107
RENAULT,Clio,0.9 TCe 90ch energy Intens 5p,108
NISSAN,Qashqai,1.3 Mild Hybrid 140ch N-Connecta 2022,109
PEUGEOT,208,1.2 PureTech 100ch S&S Style 118g,110
RENAULT,Arkana,1.6 E-Tech 145ch RS Line -21B,111
CITROEN,C5 Aircross,Hybrid rechargeable 180ch Feel Pack ë-EAT8,112
PEUGEOT,3008,1.2 PureTech 130ch E6.c Allure S&S,113
RENAULT,Twingo,E-Tech Electric Equilibre R80 Achat Intégral,114
PEUGEOT,2008,e-2008 136ch Active Pack,115
RENAULT,Zoe,Life charge normale R110,116
PEUGEOT,2008,1.2 PureTech 100ch S&S Allure Business,117
PEUGEOT,2008,1.2 PureTech 130ch S&S Allure,118
CITROEN,C4,BlueHDi 110ch S&S Feel,119
DACIA,Sandero,1.0 TCe 110ch Stepway Expression +,120
RENAULT,Clio,1.5 Blue dCi 100ch Evolution,121
RENAULT,Zoe,Life charge normale R110 location de batterie,122
RENAULT,Captur,1.6 E-Tech hybride 145ch Business -21,123
PEUGEOT,208,1.2 PureTech 100ch S&S Allure Business 118g,124
PEUGEOT,208,1.6 BlueHDi 100ch S&S Premium Pack Euro6c,125
RENAULT,Megane,1.3 TCe 140ch FAP Business EDC -21B,126
CITROEN,C3,1.5 BlueHDi 100ch S&S Shine E6.d,127
DACIA,Sandero,1.0 SCe 75ch Urban Stepway - 20,128
CITROEN,C3,1.2 PureTech 83ch S&S C-Series 123g,129
PEUGEOT,2008,1.5 BlueHDi 130ch S&S Allure Pack EAT8 125g,130
RENAULT,Clio,1.3 TCe 130ch FAP Initiale Paris EDC,131
RENAULT,Zoe,Edition One charge normale R90,132
PEUGEOT,208,1.2 PureTech 100ch S&S Allure Pack,133
RENAULT,Clio,1.0 TCe 90ch Business -21,134
PEUGEOT,3008,1.5 BlueHDi 130ch E6.c GT Line S&S EAT8,135
RENAULT,Captur,1.0 TCe 90ch Business -21,136
PEUGEOT,208,e-208 136ch Style,137
RENAULT,Clio,1.6 E-Tech 140ch Première Edition,138
PEUGEOT,208,1.2 PureTech 100ch S&S Active Business EAT8,139
RENAULT,Captur,1.5 dCi 90ch energy Business Euro6c,140
RENAULT,Clio,1.6 E-Tech 140ch Zen,141
PEUGEOT,2008,1.2 PureTech 130ch E6.c Crossway S&S EAT6 6cv,142
PEUGEOT,3008,1.5 BlueHDi 130ch S&S GT Line,143
PEUGEOT,208,1.2 PureTech 100ch S&S Style,144
NISSAN,Qashqai,1.3 Mild Hybrid 140ch N-Connecta + Pack Design,145
RENAULT,Twingo,0.9 TCe 95ch Intens - 20,146
CITROEN,C3,1.2 PureTech 110ch S&S graphic,147
RENAULT,Twingo,1.0 SCe 65ch Equilibre,148
CITROEN,C3 Aircross,PureTech 130ch S&S Shine Pack EAT6,149
PEUGEOT,308,1.5 BlueHDi 130ch S&S Allure EAT8,150
MINI,Mini,Cooper 136ch Edition Greenwich BVA7,151
CITROEN,C3,1.2 PureTech 83ch S&S Feel Pack,152
RENAULT,Arkana,1.3 TCe 140ch FAP Business EDC,153
RENAULT,Captur,1.3 TCe 130ch FAP Intens,154
PEUGEOT,2008,e-2008 136ch GT,155
RENAULT,Zoe,Intens charge normale R110 Achat Intégral - 20,156
RENAULT,Clio,1.0 TCe 90ch Business -21N,157
PEUGEOT,208,1.2 PureTech 75ch S&S Style,158
NISSAN,Leaf,109ch 30kWh Acenta,159
PEUGEOT,208,1.2 PureTech 100ch S&S Style EAT8,160
RENAULT,Twingo,0.9 TCe 95ch Zen,161
RENAULT,Zoe,Life Achat INTEGRAL charge normale R110 4cv,162
RENAULT,Twingo,1.0 SCe 65ch Urban Night,163
NISSAN,Leaf,150ch 40kWh Acenta 21.5,164
PEUGEOT,308,1.2 PureTech 110ch S&S Active Pack,165
RENAULT,Captur,1.3 TCe 130ch FAP Business - 20,166
PEUGEOT,2008,1.5 BlueHDi 130ch S&S GT EAT8 125g,167
PEUGEOT,3008,1.2 PureTech 130ch S&S Active Pack EAT8,168
PEUGEOT,2008,1.5 BlueHDi 130ch S&S GT Line EAT8 7cv,169
RENAULT,Kadjar,1.5 Blue dCi 115ch Intens EDC - 21,170
RENAULT,Twingo,Electric Life R80 Achat Intégral,171
RENAULT,Twingo,1.0 SCe 65ch Zen - 21,172
DACIA,Sandero,0.9 TCe 90ch Stepway Easy-R,173
PEUGEOT,208,1.2 PureTech 130ch S&S Allure EAT8,174
RENAULT,Arkana,1.3 TCe mild hybrid 140ch RS Line EDC -22,175
